index,Disease,Disease_Code,State,Year,Gender,Age,Age_Code,STD_Cases,Population,Rate_per_100K
35035,Gonorrhea,280,Mississippi,2013,Female,15-19 years,15-19,851,101966,834.59
35036,Gonorrhea,280,Mississippi,2013,Female,20-24 years,20-24,1068,112444,949.81
35037,Gonorrhea,280,Mississippi,2013,Female,25-29 years,25-29,449,97741,459.38
35038,Gonorrhea,280,Mississippi,2013,Female,30-34 years,30-34,186,99629,186.69
35039,Gonorrhea,280,Mississippi,2013,Female,35-39 years,35-39,63,92534,68.08
35040,Gonorrhea,280,Mississippi,2013,Female,40+ years,40+,63,731726,8.61
35041,Gonorrhea,280,Mississippi,2014,Female,0-14 years,0-14,57,300580,18.96
35042,Gonorrhea,280,Mississippi,2014,Female,15-19 years,15-19,1044,101966,1023.87
35043,Gonorrhea,280,Mississippi,2014,Female,20-24 years,20-24,1137,112444,1011.17
35044,Gonorrhea,280,Mississippi,2014,Female,25-29 years,25-29,406,97741,415.38
35045,Gonorrhea,280,Mississippi,2014,Female,30-34 years,30-34,180,99629,180.67
35046,Gonorrhea,280,Mississippi,2014,Female,35-39 years,35-39,99,92534,106.99
35047,Gonorrhea,280,Mississippi,2014,Female,40+ years,40+,64,731726,8.75
35048,Gonorrhea,280,Missouri,1996,Female,0-14 years,0-14,153,568812,26.9
35049,Gonorrhea,280,Missouri,1996,Female,15-19 years,15-19,1781,192857,923.48
35050,Gonorrhea,280,Missouri,1996,Female,20-24 years,20-24,1152,175552,656.22
35051,Gonorrhea,280,Missouri,1996,Female,25-29 years,25-29,541,185911,291
35052,Gonorrhea,280,Missouri,1996,Female,30-34 years,30-34,285,211388,134.82
35053,Gonorrhea,280,Missouri,1996,Female,35-39 years,35-39,161,228257,70.53
35054,Gonorrhea,280,Missouri,1996,Female,40+ years,40+,87,1236905,7.03
35055,Gonorrhea,280,Missouri,1996,Female,Unknown,99,29,,
35056,Gonorrhea,280,Missouri,1997,Female,0-14 years,0-14,155,571547,27.12
35057,Gonorrhea,280,Missouri,1997,Female,15-19 years,15-19,1702,197693,860.93
35058,Gonorrhea,280,Missouri,1997,Female,20-24 years,20-24,1209,175405,689.26
35059,Gonorrhea,280,Missouri,1997,Female,25-29 years,25-29,503,187029,268.94
35060,Gonorrhea,280,Missouri,1997,Female,30-34 years,30-34,272,203580,133.61
35061,Gonorrhea,280,Missouri,1997,Female,35-39 years,35-39,177,229149,77.24
35062,Gonorrhea,280,Missouri,1997,Female,40+ years,40+,95,1258885,7.55
